team_long_name,player_name,height,weight,date,away_team_goal,home_team_goal,country_id,potential,crossing,finishing,short_passing,dribbling,ball_control,acceleration,sprint_speed,stamina,score
Burnley,Abdoulaye Toure,187.96,170.0,2013-09-20 00:00:00,2.0,4.0,Belgium,0.6902035534898794,1.041286587621279,0.1094437645950546,0.6051746361928556,0.8373595767822407,0.6338927305868775,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Blackpool,Abdoulwahid Sissoko,182.88,165.0,2013-05-31 00:00:00,0.0,4.0,Belgium,0.3861254702730318,0.9831567484097896,0.1094437645950546,0.4639490867691766,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Swansea City,Abdourahman Dampha,182.88,168.0,2013-04-26 00:00:00,2.0,0.0,Belgium,0.3861254702730318,0.9831567484097896,0.1094437645950546,0.4639490867691766,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Queens Park Rangers,Abdul Aziz Tetteh,182.88,190.0,2013-04-19 00:00:00,0.0,0.0,Belgium,0.3861254702730318,0.9831567484097896,0.1094437645950546,0.4639490867691766,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Norwich City,Abdul Majeed Waris,172.72,157.0,2013-04-05 00:00:00,0.0,2.0,Belgium,0.3861254702730318,0.9831567484097896,0.1094437645950546,0.3227235373454976,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Southampton,Abdul Osman,182.88,154.0,2013-03-22 00:00:00,3.0,3.0,Belgium,0.3861254702730318,0.9831567484097896,0.3200216416177568,0.2521107626336581,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Reading,Abdul Rahman Baba,177.8,154.0,2013-03-08 00:00:00,1.0,2.0,Belgium,0.3861254702730318,0.9831567484097896,0.3200216416177568,0.2521107626336581,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Crystal Palace,Abdul-Yakinu Iddi,172.72,146.0,2013-02-15 00:00:00,1.0,5.0,Belgium,0.3861254702730318,0.9831567484097896,0.3200216416177568,0.2521107626336581,0.7808760517480781,0.5679386444232926,0.4894828604807713,0.8730302070420397,0.3777198501095823,2
Cardiff City,Abdulkader Keita,182.88,172.0,2012-08-31 00:00:00,2.0,1.0,Belgium,-0.2220306961606631,0.4599881955063887,0.3200216416177568,-0.1009531109255394,0.4419749015431023,0.2381682136053685,0.6438782041298241,0.9527680547123916,0.3777198501095823,2
Leicester City,Abdulla Fatadi,175.26,172.0,2012-02-22 00:00:00,2.0,5.0,Belgium,0.2340864286646081,0.5762478739293667,0.5832439878961346,0.0402724384981395,0.3854913765089398,0.2381682136053685,0.6438782041298241,0.5540788163606319,1.0628974585631257,2
Bournemouth,Abdullah Al Hafith,187.96,165.0,2011-08-30 00:00:00,2.0,1.0,Belgium,0.2340864286646081,0.5762478739293667,0.5832439878961346,0.0402724384981395,0.3854913765089398,0.2381682136053685,0.6438782041298241,0.5540788163606319,0.4538506954933093,2
Watford,Abdullah Omar,175.26,157.0,2011-02-22 00:00:00,1.0,3.0,Belgium,0.6902035534898794,0.8087672307753228,1.0043997419415391,0.1814979879218186,0.4419749015431023,0.6998468167504622,0.0262968295336127,0.5540788163606319,0.0731964685746742,2
AJ Auxerre,Abdullahi Shehu,180.34,159.0,2010-08-30 00:00:00,0.0,2.0,Belgium,0.6902035534898794,0.8087672307753228,1.0043997419415391,0.1814979879218186,0.4419749015431023,0.6998468167504622,0.0262968295336127,0.5540788163606319,0.0731964685746742,2
FC Nantes,Abel Aguilar,185.42,176.0,2010-02-22 00:00:00,0.0,1.0,Belgium,-0.5261087793775107,0.8087672307753228,1.0043997419415391,0.0402724384981395,0.4419749015431023,0.3041222997689533,0.257889845007192,0.7135545117013358,0.1493273139584012,2
